                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5656,                 4.1801,                 1.5512,                0.00808,                0.25946,                0.03823,                0.02461,                 1.3299,                 4.1972,                 1.4606,               3.57e-05,               3.57e-05,               3.57e-05
                      2,                 1.6667,                 4.0952,                 1.5966,                0.01222,                0.25158,                0.06475,                0.04319,                 1.3222,                 4.1871,                 1.4553,             7.0765e-05,             7.0765e-05,             7.0765e-05
                      3,                 1.4198,                  3.811,                  1.539,                0.01428,                0.28159,                0.07169,                0.04524,                 1.3194,                 4.1857,                 1.4741,             9.7347e-05,             9.7347e-05,             9.7347e-05
                      4,                 1.4926,                 3.6933,                 1.4476,                0.01434,                0.28627,                0.07874,                0.04887,                 1.3186,                 4.1607,                 1.4631,             0.00011545,             0.00011545,             0.00011545
                      5,                 1.4624,                 3.4304,                 1.5466,                0.01299,                0.30274,                 0.0882,                0.05668,                 1.3128,                 4.0988,                 1.4391,             0.00012506,             0.00012506,             0.00012506
                      6,                 1.4696,                  3.151,                 1.4272,                0.01292,                0.30626,                0.10509,                0.06686,                 1.3197,                 4.0321,                 1.4308,              0.0001262,              0.0001262,              0.0001262
                      7,                 1.5586,                 2.9733,                 1.5294,                0.01415,                0.35156,                0.12971,                0.08468,                 1.3356,                 3.9325,                 1.4293,             0.00011885,             0.00011885,             0.00011885
                      8,                 1.4659,                 2.7824,                 1.4234,                0.01512,                0.40222,                0.17657,                0.11228,                 1.3628,                 3.8371,                 1.4493,             0.00010302,             0.00010302,             0.00010302
                      9,                 1.2663,                 2.6716,                 1.3187,                0.64142,                0.18522,                  0.226,                0.13865,                 1.3709,                 3.7333,                 1.4566,             7.8711e-05,             7.8711e-05,             7.8711e-05
                     10,                 1.2419,                 2.4277,                 1.3438,                0.95199,                0.05992,                0.23534,                0.14555,                 1.3742,                 3.6663,                 1.4541,             4.5917e-05,             4.5917e-05,             4.5917e-05
